Wavelength;Raw data #1
505.02;121
505.39;67
505.77;72
506.15;199
506.53;53
506.91;37
507.29;82
507.67;65
508.05;21
508.43;93
508.81;46
509.19;13
509.57;112
509.95;29
510.33;68
510.71;36
511.09;83
511.46;27
511.84;205
512.22;48
512.6;78
512.98;10
513.36;157
513.74;116
514.12;83
514.5;44
514.87;2
515.25;72
515.63;140
516.01;143
516.39;214
516.77;60
517.15;67
517.53;139
517.9;144
518.28;124
518.66;42
519.04;48
519.42;79
519.8;127
520.17;81
520.55;55
520.93;73
521.31;20
521.69;807
522.07;181
522.44;62
522.82;113
523.2;48
523.58;86
523.96;103
524.33;74
524.71;89
525.09;75
525.47;98
525.85;115
526.22;85
526.6;231
526.98;114
527.36;135
527.73;176
528.11;161
528.49;302
528.87;145
529.25;139
529.62;225
530;248
530.38;97
530.75;243
531.13;462
531.51;147
531.89;188
532.26;167
532.64;102
533.02;106
533.4;407
533.77;134
534.15;175
534.53;249
534.9;133
535.28;164
535.66;120
536.04;226
536.41;202
536.79;181
537.17;207
537.54;203
537.92;169
538.3;214
538.67;262
539.05;156
539.43;132
539.8;208
540.18;188
540.56;183
540.93;241
541.31;227
541.69;131
542.06;253
542.44;257
542.81;395
543.19;321
543.57;287
543.94;199
544.32;269
544.7;283
545.07;375
545.45;259
545.82;322
546.2;377
546.58;270
546.95;300
547.33;375
547.7;293
548.08;363
548.46;375
548.83;357
549.21;431
549.58;410
549.96;315
550.33;380
550.71;467
551.08;410
551.46;625
551.84;550
552.21;558
552.59;591
552.96;542
553.34;830
553.71;779
554.09;757
554.46;720
554.84;767
555.21;835
555.59;948
555.96;886
556.34;1056
556.71;1071
557.09;1143
557.46;1254
557.84;1267
558.21;1461
558.59;1482
558.96;1514
559.34;1703
559.71;1894
560.09;1918
560.46;2012
560.84;2182
561.21;2242
561.59;2413
561.96;2543
562.33;2751
562.71;2956
563.08;3211
563.46;3226
563.83;3675
564.21;3751
564.58;3993
564.96;4394
565.33;4663
565.7;5004
566.08;5210
566.45;5480
566.83;5813
567.2;6501
567.57;6832
567.95;7333
568.32;7668
568.7;8146
569.07;8675
569.44;9413
569.82;10041
570.19;10818
570.56;11233
570.94;12382
571.31;13307
571.69;13723
572.06;14604
572.43;16008
572.81;16774
573.18;18105
573.55;18911
573.93;20344
574.3;21820
574.67;22858
575.05;24189
575.42;26854
575.79;27212
576.17;30043
576.54;31415
576.91;34113
577.28;37034
577.66;38026
578.03;41077
578.4;43994
578.78;46122
579.15;49215
579.52;51568
579.89;55194
580.27;58817
580.64;60687
581.01;64029
581.39;64029
581.76;64029
582.13;64029
582.5;64029
582.88;64029
583.25;64029
583.62;64029
583.99;64029
584.36;64029
584.74;64029
585.11;64029
585.48;64029
585.85;64029
586.23;64029
586.6;64029
586.97;64029
587.34;64029
587.71;64029
588.09;64029
588.46;64029
588.83;64029
589.2;64029
589.57;64029
589.94;64029
590.32;64029
590.69;64029
591.06;64029
591.43;64029
591.8;64029
592.17;64029
592.55;64029
592.92;64029
593.29;64029
593.66;64029
594.03;64029
594.4;64029
594.77;64029
595.14;64029
595.52;64029
595.89;64029
596.26;64029
596.63;64029
597;64029
597.37;64029
597.74;64029
598.11;64029
598.48;64029
598.85;64029
599.23;64029
599.6;64029
599.97;64029
600.34;64029
600.71;64029
601.08;64029
601.45;64029
601.82;64029
602.19;64029
602.56;64029
602.93;64029
603.3;64029
603.67;64029
604.04;64029
604.41;64029
604.78;64029
605.15;64029
605.52;64029
605.89;64029
606.26;64029
606.63;64029
607;64029
607.37;64029
607.74;64029
608.11;64029
608.48;64029
608.85;64029
609.22;64029
609.59;64029
609.96;64029
610.33;64029
610.7;64029
611.07;64029
611.44;64029
611.81;64029
612.18;64029
612.55;64029
612.92;64029
613.28;64029
613.65;64029
614.02;64029
614.39;64029
614.76;64029
615.13;64029
615.5;64029
615.87;64029
616.24;64029
616.61;64029
616.98;64029
617.34;64029
617.71;64029
618.08;64029
618.45;64029
618.82;64029
619.19;62559
619.56;60131
619.92;57812
620.29;56028
620.66;53612
621.03;51437
621.4;49440
621.77;47608
622.13;46019
622.5;44279
622.87;42517
623.24;41217
623.61;39162
623.98;37978
624.34;36758
624.71;35475
