Wavelength;Raw data #1
505.02;475
505.39;444
505.77;399
506.15;476
506.53;486
506.91;331
507.29;454
507.67;422
508.05;341
508.43;392
508.81;463
509.19;379
509.57;533
509.95;432
510.33;444
510.71;470
511.09;456
511.46;423
511.84;535
512.22;338
512.6;498
512.98;441
513.36;512
513.74;543
514.12;467
514.5;464
514.87;444
515.25;499
515.63;558
516.01;497
516.39;533
516.77;502
517.15;482
517.53;555
517.9;528
518.28;565
518.66;514
519.04;484
519.42;581
519.8;632
520.17;480
520.55;484
520.93;634
521.31;547
521.69;1052
522.07;572
522.44;513
522.82;538
523.2;519
523.58;542
523.96;639
524.33;553
524.71;554
525.09;544
525.47;575
525.85;606
526.22;613
526.6;763
526.98;604
527.36;684
527.73;617
528.11;652
528.49;809
528.87;688
529.25;681
529.62;659
530;699
530.38;677
530.75;757
531.13;926
531.51;683
531.89;658
532.26;725
532.64;666
533.02;628
533.4;930
533.77;769
534.15;735
534.53;760
534.9;765
535.28;798
535.66;712
536.04;761
536.41;816
536.79;813
537.17;808
537.54;792
537.92;708
538.3;857
538.67;951
539.05;874
539.43;828
539.8;859
540.18;907
540.56;904
540.93;982
541.31;934
541.69;910
542.06;948
542.44;934
542.81;1052
543.19;1074
543.57;1101
543.94;1002
544.32;1071
544.7;1085
545.07;1211
545.45;1085
545.82;1130
546.2;1212
546.58;1164
546.95;1277
547.33;1319
547.7;1282
548.08;1396
548.46;1424
548.83;1395
549.21;1458
549.58;1548
549.96;1622
550.33;1633
550.71;1703
551.08;1757
551.46;1971
551.84;1933
552.21;1859
552.59;2040
552.96;2155
553.34;2423
553.71;2457
554.09;2539
554.46;2600
554.84;2770
555.21;2888
555.59;3057
555.96;3244
556.34;3467
556.71;3575
557.09;3696
557.46;4136
557.84;4251
558.21;4657
558.59;4695
558.96;5027
559.34;5400
559.71;5752
560.09;5977
560.46;6482
560.84;6928
561.21;7271
561.59;7841
561.96;8272
562.33;8830
562.71;9559
563.08;10253
563.46;10695
563.83;11525
564.21;12169
564.58;13262
564.96;13987
565.33;14770
565.7;16331
566.08;16903
566.45;17621
566.83;19009
567.2;20890
567.57;21605
567.95;23017
568.32;24497
568.7;26393
569.07;28000
569.44;30173
569.82;32337
570.19;34503
570.56;36080
570.94;39566
571.31;42086
571.69;44204
572.06;46877
572.43;50812
572.81;53266
573.18;56489
573.55;60236
573.93;63840
574.3;64028
574.67;64028
575.05;64028
575.42;64028
575.79;64028
576.17;64028
576.54;64028
576.91;64028
577.28;64028
577.66;64028
578.03;64028
578.4;64028
578.78;64028
579.15;64028
579.52;64028
579.89;64028
580.27;64028
580.64;64028
581.01;64028
581.39;64028
581.76;64028
582.13;64028
582.5;64028
582.88;64028
583.25;64028
583.62;64028
583.99;64028
584.36;64028
584.74;64028
585.11;64028
585.48;64028
585.85;64028
586.23;64028
586.6;64028
586.97;64028
587.34;64028
587.71;64028
588.09;64028
588.46;64028
588.83;64028
589.2;64028
589.57;64028
589.94;64028
590.32;64028
590.69;64028
591.06;64028
591.43;64028
591.8;64028
592.17;64028
592.55;64028
592.92;64028
593.29;64028
593.66;64028
594.03;64028
594.4;64028
594.77;64028
595.14;64028
595.52;64028
595.89;64028
596.26;64028
596.63;64028
597;64028
597.37;64028
597.74;64028
598.11;64028
598.48;64028
598.85;64028
599.23;64028
599.6;64028
599.97;64028
600.34;64028
600.71;64028
601.08;64028
601.45;64028
601.82;64028
602.19;64028
602.56;64028
602.93;64028
603.3;64028
603.67;64028
604.04;64028
604.41;64028
604.78;64028
605.15;64028
605.52;64028
605.89;64028
606.26;64028
606.63;64028
607;64028
607.37;64028
607.74;64028
608.11;64028
608.48;64028
608.85;64028
609.22;64028
609.59;64028
609.96;64028
610.33;64028
610.7;64028
611.07;64028
611.44;64028
611.81;64028
612.18;64028
612.55;64028
612.92;64028
613.28;64028
613.65;64028
614.02;64028
614.39;64028
614.76;64028
615.13;64028
615.5;64028
615.87;64028
616.24;64028
616.61;64028
616.98;64028
617.34;64028
617.71;64028
618.08;64028
618.45;64028
618.82;64028
619.19;64028
619.56;64028
619.92;64028
620.29;64028
620.66;64028
621.03;64028
621.4;64028
621.77;64028
622.13;64028
622.5;64028
622.87;64028
623.24;64028
623.61;64028
623.98;64028
624.34;64028
624.71;64028
625.08;64028
625.45;64028
625.82;64028
626.18;64028
626.55;64028
626.92;64028
627.29;64028
627.65;64028
628.02;64028
628.39;64028
628.76;64028
629.12;64028
629.49;64028
629.86;64028
630.23;64028
630.59;64028
630.96;64028
631.33;64028
631.7;64028
632.06;64028
632.43;62550
632.8;60677
633.16;58522
633.53;56789
633.9;55297
634.26;53497
634.63;51878
635;49645
635.37;48201
635.73;46635
636.1;45256
636.47;43708
636.83;42603
637.2;41543
637.57;40099
637.93;38890
638.3;37917
638.66;36610
639.03;35903
639.4;35306
639.76;34350
640.13;33315
640.5;32578
640.86;31820
641.23;31412
641.59;32517
641.96;29943
642.33;29403
642.69;28836
643.06;28319
643.42;27775
643.79;27204
644.16;26751
644.52;26331
644.89;25729
645.25;25435
645.62;25016
645.98;24281
646.35;23978
646.71;23612
647.08;22938
647.45;22579
647.81;22223
648.18;21924
648.54;21604
648.91;20805
649.27;20368
649.64;20095
650;19651
