Wavelength;%TR #1
332.6;0
332.99;0
333.38;9.9174
333.77;0
334.16;0
334.55;1.6129
334.94;42.2857
335.33;0
335.72;0
336.11;24.0876
336.5;0
336.89;3.7037
337.29;0
337.68;0
338.07;0
338.46;0
338.85;3.252
339.24;0
339.63;0.6061
340.02;0
340.41;30.7229
340.8;0
341.19;0
341.58;0
341.97;25.8278
342.36;49.2188
342.75;4.1322
343.14;0
343.53;0
343.92;0
344.31;0
344.7;0
345.09;0
345.48;10.5263
345.87;0
346.26;13.6364
346.65;21.2598
347.04;0
347.43;9.3525
347.83;0
348.22;0
348.61;0
349;0
349.39;28.0612
349.78;0
350.17;11.9469
350.56;5.4945
350.95;6.7114
351.34;0
351.73;0
352.11;0
352.5;11.6022
352.89;3.268
353.28;0
353.67;3.4682
354.06;4.5161
354.45;0
354.84;9.4787
355.23;90.0386
355.62;14.3426
356.01;1.3072
356.4;0
356.79;0
357.18;0
357.57;0
357.96;0
358.35;0
358.74;0
359.13;30.131
359.52;7.6
359.91;25.3247
360.3;21.1111
360.69;0
361.08;0
361.47;4.7368
361.86;0
362.24;0
362.63;0
363.02;5.2239
363.41;8.7179
363.8;0
364.19;17.9487
364.58;1.9608
364.97;5.5556
365.36;8.0645
365.75;21.1321
366.14;18.3206
366.53;0
366.92;5.9361
367.3;0
367.69;10
368.08;2.1661
368.47;20.1238
368.86;3.9088
369.25;0
369.64;18.9504
370.03;7.9038
370.42;8.971
370.81;14.7309
371.19;0
371.58;0
371.97;0
372.36;0
372.75;0
373.14;7.5209
373.53;0
373.92;4.878
374.3;0
374.69;0
375.08;0
375.47;3.6613
375.86;0.6012
376.25;0.4329
376.64;1.3216
377.02;3.9535
377.41;0
377.8;0
378.19;1.6863
378.58;0
378.97;0
379.36;1.8553
379.74;5.1635
380.13;3.4109
380.52;5.6515
380.91;2.1207
381.3;0
381.69;6.7771
382.07;4.742
382.46;4.9787
382.85;5.9663
383.24;6.1358
383.63;0.9211
384.01;0
384.4;6.9083
384.79;0.9901
385.18;0.1212
385.57;1.9975
385.96;8.9744
386.34;6.0021
386.73;7.8652
387.12;0
387.51;6.4249
387.9;3.6036
388.28;0.2893
388.67;17.2684
389.06;0.2762
389.45;0.7923
389.83;5.7541
390.22;2.1719
390.61;3.4361
391;2.1151
391.39;4.3867
391.77;3.8741
392.16;1.405
392.55;8.8587
392.94;2.7509
393.32;1.3514
393.71;9.2407
394.1;1.9476
394.49;4.698
394.87;1.5509
395.26;2.1927
395.65;6.7145
396.04;3.6472
396.42;2.8796
396.81;9.2308
397.2;6.5534
397.59;2.2699
397.97;4.8329
398.36;10.2933
398.75;6.4426
399.14;3.3576
399.52;3.9956
399.91;5.6482
400.3;6.4182
400.68;10.286
401.07;0.7092
401.46;5.2008
401.85;4.1605
402.23;8.1553
402.62;6.4653
403.01;3.4361
403.39;4.4954
403.78;6.1407
404.17;1.6034
404.55;5.4629
404.94;6.119
405.33;7.2547
405.71;4.4237
406.1;5.9806
406.49;4.717
406.88;4.7295
407.26;7.1746
407.65;3.9516
408.04;4.903
408.42;5.141
408.81;6.0312
409.2;4.191
409.58;6.7265
409.97;6.1634
410.36;4.6614
410.74;6.8862
411.13;4.947
411.51;4.0051
411.9;6.3019
412.29;6.0674
412.67;7.0689
413.06;6.4107
413.45;5.849
413.83;6.2229
414.22;6.1502
414.61;6.148
414.99;5.3439
415.38;5.1892
415.76;5.6535
416.15;6.6218
416.54;5.0195
416.92;7.3681
417.31;6.7234
417.7;5.3981
418.08;5.8653
418.47;6.1445
418.85;5.9098
419.24;6.2095
419.63;5.565
420.01;5.2764
420.4;6.4469
420.78;6.9054
421.17;6.3398
421.55;7.6631
421.94;6.5941
422.33;7.0993
422.71;5.1682
423.1;5.7514
423.48;6.6537
423.87;6.1945
424.25;6.9311
424.64;5.4684
425.03;6.5343
425.41;6.0409
425.8;5.6534
426.18;7.1986
426.57;6.6181
426.95;6.8483
427.34;6.5053
427.72;6.8315
428.11;6.7333
428.5;5.7679
428.88;5.0288
429.27;5.6408
429.65;6.5923
430.04;5.5744
430.42;5.8527
430.81;5.7449
431.19;6.1028
431.58;7.0709
431.96;7.2606
432.35;7.0516
432.73;5.4058
433.12;6.6555
433.5;5.9325
433.89;6.4926
434.27;6.7797
434.66;6.6295
435.04;5.2554
435.43;4.8213
435.81;6.6232
436.2;5.8857
436.58;6.2455
436.97;5.8508
437.35;5.4736
437.74;5.8146
438.12;6.4761
438.51;5.9908
438.89;5.7384
439.28;5.4104
439.66;6.4529
440.05;7.1344
440.43;5.7615
440.81;5.6695
441.2;6.1975
441.58;6.2627
441.97;6.7013
442.35;6.1278
442.74;5.7515
443.12;6.26
443.51;5.8368
443.89;6.2605
444.27;6.3744
444.66;6.6933
445.04;5.581
445.43;6.463
445.81;6.4139
446.2;6.6591
446.58;6.6262
446.96;5.8621
447.35;6.8386
447.73;6.8928
448.12;6.2692
448.5;6.157
448.88;6.0677
449.27;6.1314
449.65;5.9624
450.04;6.3156
450.42;6.064
450.8;6.7149
451.19;6.2179
451.57;6.6713
451.95;6.59
452.34;7.0002
452.72;6.3425
453.11;6.0917
453.49;7.0462
453.87;6.6798
454.26;6.5505
454.64;6.3816
455.02;6.64
455.41;6.1784
455.79;6.2063
456.17;6.3243
456.56;6.1827
456.94;6.5354
457.32;6.4732
457.71;5.8405
458.09;6.6815
458.47;6.3164
458.86;6.696
459.24;6.3026
459.62;6.8794
460.01;6.3129
460.39;6.501
460.77;6.4898
461.16;6.4183
461.54;7.1996
461.92;6.4765
462.31;6.2845
462.69;6.2314
463.07;6.2678
463.45;6.4136
463.84;6.3743
464.22;5.9612
464.6;6.2683
464.99;6.7273
465.37;6.6667
465.75;6.1781
466.13;6.1926
466.52;6.5162
466.9;6.8442
467.28;6.5134
467.66;6.2151
468.05;6.7951
468.43;6.4969
468.81;6.6018
469.19;6.3663
469.58;5.8765
469.96;6.308
470.34;6.465
470.72;6.6363
471.11;6.8571
471.49;6.2854
471.87;6.494
472.25;6.2962
472.64;6.7195
473.02;6.3252
473.4;6.1759
473.78;6.3772
474.16;6.174
474.55;6.7123
474.93;6.315
475.31;6.6061
475.69;6.5109
476.07;6.3941
476.46;6.8172
476.84;6.6145
477.22;6.2397
477.6;6.2326
477.98;6.3485
478.37;6.353
478.75;6.4729
479.13;6.4093
479.51;6.244
479.89;6.4384
480.27;6.3314
480.66;6.4853
481.04;6.5314
481.42;6.4831
481.8;6.3865
482.18;6.4594
482.56;6.6727
482.94;6.3769
483.33;6.4596
483.71;6.3326
484.09;6.445
484.47;6.481
484.85;6.2326
485.23;6.1847
485.61;6.3799
485.99;6.5127
486.38;6.3804
486.76;6.2761
487.14;6.3139
487.52;6.4701
487.9;6.558
488.28;6.4085
488.66;6.3463
489.04;6.2348
489.42;6.3692
489.81;6.2688
490.19;6.3798
490.57;6.4998
490.95;6.4078
491.33;6.4239
491.71;6.7653
492.09;6.5943
492.47;6.6371
492.85;6.4073
493.23;6.5712
493.61;6.5829
493.99;6.4629
494.37;6.6433
494.75;6.5795
495.13;6.4536
495.51;6.652
495.9;6.8191
496.28;6.9248
496.66;6.5021
497.04;6.5046
497.42;7.1421
497.8;6.5824
498.18;6.6726
498.56;6.7811
498.94;6.7752
499.32;6.557
499.7;6.9042
500.08;6.6836
500.46;6.7918
500.84;6.932
501.22;6.7363
501.6;6.7242
501.98;6.8488
502.36;6.9551
502.74;6.7728
503.12;6.7805
503.5;6.9601
503.88;7.0391
504.26;7.1887
504.64;7.1446
505.02;7.0675
505.39;7.2728
505.77;7.4011
506.15;7.3436
506.53;7.162
506.91;7.3968
507.29;7.5648
507.67;7.4827
508.05;7.3964
508.43;7.6048
508.81;7.6546
509.19;7.7246
509.57;7.824
509.95;7.8761
510.33;7.8132
510.71;7.9359
511.09;7.9724
511.46;8.2268
511.84;8.3342
512.22;9.3409
512.6;8.5008
512.98;8.5872
513.36;8.5888
513.74;8.8792
514.12;9.1983
514.5;9.0089
514.87;9.1322
515.25;9.2901
515.63;9.362
516.01;9.4474
516.39;9.679
516.77;9.4562
517.15;9.8016
517.53;10.0895
517.9;10.2537
518.28;10.278
518.66;10.3583
519.04;10.4731
519.42;10.6464
519.8;10.9004
520.17;11.1981
520.55;11.1466
520.93;11.3158
521.31;11.4977
521.69;12.0125
522.07;11.8136
522.44;12.1614
522.82;12.2649
523.2;12.4841
523.58;12.6346
523.96;12.9266
524.33;12.9039
524.71;13.083
525.09;13.4386
525.47;13.384
525.85;13.5684
526.22;13.9865
526.6;14.0204
526.98;14.2801
527.36;14.5771
527.73;14.7461
528.11;14.6912
528.49;14.8328
528.87;14.9934
529.25;15.0109
529.62;15.3233
530;15.4718
530.38;15.4252
530.75;15.8683
531.13;15.7049
531.51;15.9572
531.89;16.143
532.26;16.2758
532.64;16.4476
533.02;16.5128
533.4;16.5781
533.77;16.7851
534.15;16.8883
534.53;16.964
534.9;16.8065
535.28;16.9781
535.66;17.1929
536.04;17.2306
536.41;17.4832
536.79;17.0324
537.17;17.3412
537.54;17.4796
537.92;17.4505
538.3;17.8591
538.67;17.5972
539.05;17.8021
539.43;17.6115
539.8;17.9157
540.18;17.8423
540.56;17.9921
540.93;18.0811
541.31;18.0162
541.69;17.9903
542.06;17.8446
542.44;18.3166
542.81;18.0829
543.19;18.3859
543.57;18.4544
543.94;18.2721
544.32;18.2379
544.7;18.5004
545.07;18.4905
545.45;18.6052
545.82;18.5191
546.2;18.6524
546.58;18.4985
546.95;18.3922
547.33;18.4536
547.7;18.6967
548.08;18.5532
548.46;18.4982
548.83;18.7558
549.21;18.7537
549.58;18.7322
549.96;18.8032
550.33;18.865
550.71;18.8975
551.08;18.8445
551.46;18.8415
551.84;18.8985
552.21;18.9083
552.59;19.026
552.96;18.9265
553.34;18.9121
553.71;18.8258
554.09;19.1854
554.46;19.0113
554.84;18.8864
555.21;18.7292
555.59;18.9021
555.96;19.0011
556.34;18.8682
556.71;18.5741
557.09;18.9221
557.46;18.9425
557.84;18.635
558.21;18.5568
558.59;18.6624
558.96;18.7553
559.34;18.7446
559.71;18.6195
560.09;18.4675
560.46;18.4419
560.84;18.3913
561.21;18.2985
561.59;18.2211
561.96;18.1956
562.33;18.2952
562.71;18.1738
563.08;17.961
563.46;17.834
563.83;17.8237
564.21;17.8794
564.58;17.8017
564.96;17.9436
565.33;17.5185
565.7;17.5139
566.08;17.0081
566.45;17.1628
566.83;16.995
567.2;16.9013
567.57;16.7627
567.95;16.6892
568.32;16.6312
568.7;16.4008
569.07;16.4244
569.44;16.3136
569.82;15.9063
570.19;16.0411
570.56;15.5209
570.94;15.8218
571.31;15.5767
571.69;15.485
572.06;15.1581
572.43;15.1651
572.81;15.1929
573.18;15.0346
573.55;14.9018
573.93;14.9528
574.3;14.7141
574.67;14.7323
575.05;14.4336
575.42;14.4629
575.79;14.1886
576.17;14.2606
576.54;14.1857
576.91;14.3261
577.28;13.8267
577.66;13.9163
578.03;13.7221
578.4;13.7183
578.78;13.498
579.15;13.5133
579.52;13.3455
579.89;13.4068
580.27;13.4596
580.64;13.1469
581.01;12.9833
581.39;13.0985
581.76;13.1451
582.13;13.0876
582.5;13.0117
582.88;12.873
583.25;12.8371
583.62;12.9612
583.99;12.7039
584.36;12.738
584.74;12.6579
585.11;12.507
585.48;12.5643
585.85;12.5322
586.23;12.5263
586.6;12.2526
586.97;12.3345
587.34;12.1446
587.71;12.0741
588.09;12.2039
588.46;12.1235
588.83;12.1802
589.2;12.2203
589.57;12.1565
589.94;12.0201
590.32;11.959
590.69;11.9192
591.06;12.018
591.43;11.9144
591.8;11.7276
592.17;11.6843
592.55;11.9564
592.92;11.9352
593.29;11.824
593.66;11.6063
594.03;11.8007
594.4;11.6916
594.77;11.6263
595.14;11.7107
595.52;11.4443
595.89;11.5067
596.26;11.565
596.63;11.5435
597;11.5592
597.37;11.6425
597.74;11.4996
598.11;11.5369
598.48;11.7126
598.85;11.3702
599.23;11.482
599.6;11.3099
599.97;11.5475
600.34;11.2931
600.71;11.5763
601.08;11.4897
601.45;11.3422
601.82;11.2936
602.19;11.2384
602.56;11.7516
602.93;11.194
603.3;11.0617
603.67;11.2339
604.04;11.1115
604.41;11.0895
604.78;11.256
605.15;11.0301
605.52;11.1103
605.89;10.8838
606.26;11.117
606.63;10.8117
607;10.9838
607.37;10.8527
607.74;10.8708
608.11;10.7813
608.48;10.6594
608.85;10.7523
609.22;10.6067
609.59;10.6921
609.96;10.6779
610.33;10.5901
610.7;10.6145
611.07;10.308
611.44;10.492
611.81;10.4213
612.18;10.3383
612.55;10.2458
612.92;10.2972
613.28;10.3186
613.65;10.1582
614.02;10.0735
614.39;9.9535
614.76;9.9662
615.13;9.8504
615.5;10.1252
615.87;10.0139
616.24;10.142
616.61;9.8061
616.98;9.7527
617.34;9.7943
617.71;9.9029
618.08;9.616
618.45;9.6189
618.82;9.6393
619.19;9.5828
619.56;9.523
619.92;9.6287
620.29;9.6833
620.66;9.4796
621.03;9.6809
621.4;9.6285
621.77;9.6331
622.13;9.5053
622.5;9.3186
622.87;9.527
623.24;9.4741
623.61;9.3294
623.98;9.3688
624.34;9.3349
624.71;9.3835
625.08;9.5134
625.45;9.1383
625.82;9.4782
626.18;9.2526
626.55;9.4053
626.92;9.1886
627.29;9.3804
627.65;9.504
628.02;9.1272
628.39;9.1348
628.76;9.2659
629.12;9.3813
629.49;9.267
629.86;9.0847
630.23;9.2036
630.59;9.2336
630.96;9.2535
631.33;9.0871
631.7;9.1273
632.06;9.2336
632.43;9.5456
632.8;9.3825
633.16;9.378
633.53;9.492
633.9;9.0755
634.26;9.0458
634.63;9.2275
635;9.2914
635.37;9.1988
635.73;9.0766
636.1;8.9914
636.47;9.2701
636.83;9.1774
637.2;9.0779
637.57;9.0023
637.93;9.0543
638.3;9.1528
638.66;8.9934
639.03;8.9035
639.4;8.8405
639.76;8.9285
640.13;9.0193
640.5;8.9216
640.86;8.8208
641.23;8.7056
641.59;8.7757
641.96;8.5409
642.33;8.5079
642.69;8.5588
643.06;8.2511
643.42;8.2716
643.79;8.3503
644.16;8.27
644.52;8.4044
644.89;8.0985
645.25;8.2354
645.62;8.3057
645.98;8.1654
646.35;8.1506
646.71;7.8633
647.08;7.9912
647.45;8.0332
647.81;8.0054
648.18;7.838
648.54;7.9646
648.91;7.7947
649.27;7.7705
649.64;7.868
650;7.7607
650.37;7.6682
650.73;7.7792
651.1;7.7272
651.46;7.4775
651.83;7.6988
652.19;7.8645
652.56;7.8703
652.92;7.6481
653.29;7.5074
653.65;7.6582
654.02;7.5766
654.38;7.5007
654.74;7.6613
655.11;7.6367
655.47;7.7851
655.84;7.4984
656.2;7.4242
656.57;7.5172
656.93;7.8938
657.29;7.3151
657.66;7.3613
658.02;7.5553
658.39;7.4602
658.75;7.466
659.12;7.4727
659.48;7.351
659.84;7.4395
660.21;7.4897
660.57;7.4111
660.93;7.3045
661.3;7.4261
661.66;7.4682
662.03;7.2769
662.39;7.1309
662.75;7.2876
663.12;7.165
663.48;7.0546
663.84;7.1774
664.21;7.1059
664.57;7.2406
664.93;7.2924
665.3;7.0831
665.66;7.1134
666.02;6.9637
666.39;7.0298
666.75;6.849
667.11;6.9222
667.47;6.9913
667.84;7.1626
668.2;6.9651
668.56;7.1624
668.93;7.1071
669.29;7.0934
669.65;6.9292
670.01;6.8182
670.38;7.0348
670.74;6.9605
671.1;7.014
671.46;7.0226
671.83;6.8636
672.19;7.0513
672.55;7.1348
672.91;6.8865
673.28;7.0359
673.64;6.7945
674;7.0756
674.36;6.844
674.72;6.8872
675.09;7.0382
675.45;6.9819
675.81;7.0206
676.17;7.0018
676.53;7.0649
676.9;6.7883
677.26;6.884
677.62;6.8809
677.98;6.938
678.34;7.2443
678.7;7.0288
679.07;7.0191
679.43;7.0804
679.79;7.0127
680.15;7.2679
680.51;7.0658
680.87;7.01
681.23;6.9404
681.6;7.1732
681.96;7.3632
682.32;7.1902
682.68;7.2283
683.04;7.2294
683.4;7.3068
683.76;7.1453
684.12;7.3181
684.48;7.4329
684.84;7.3827
685.21;7.4295
685.57;7.4758
