Wavelength;%TR #1
780.83;77.8603
781.18;76.2684
781.52;77.1581
781.87;77.257
782.22;76.8352
782.56;78.6286
782.91;77.7095
783.26;78.2392
783.6;77.3352
783.95;76.5889
784.3;76.897
784.64;76.0154
784.99;78.6298
785.34;78.6515
785.68;77.4969
786.03;77.8387
786.38;77.5103
786.72;74.5849
787.07;75.8102
787.42;78.5955
787.76;80.0426
788.11;76.1945
788.45;78.5964
788.8;78.0449
789.15;77.4322
789.49;78.4225
789.84;77.4624
790.18;77.997
790.53;77.6967
790.87;75.126
791.22;76.7617
791.57;74.6197
791.91;77.4156
792.26;80.1147
792.6;77.1081
792.95;76.9183
793.29;78.1755
793.64;79.4734
793.98;78.4764
794.33;77.047
794.67;78.4321
795.02;76.7529
795.36;76.8693
795.71;76.0086
796.05;75.7386
796.4;79.8473
796.74;77.5076
797.09;75.5505
797.43;75.6469
797.78;76.0597
798.12;78.3984
798.47;77.8987
798.81;77.3769
799.15;73.4407
799.5;75.9863
799.84;77.7778
800.19;80.4348
800.53;77.0377
800.88;71.8723
801.22;79.7602
801.56;76.8209
801.91;72.0305
802.25;82.3899
802.59;80.9942
802.94;75.7732
803.28;75.5102
803.63;75.7694
803.97;77.6544
804.31;77.8832
804.66;79.6601
805;73.7582
805.34;76.5927
805.69;76.2897
806.03;77.6795
806.37;72.7414
806.72;79.7565
807.06;79.3158
807.4;81.5514
807.74;78.5032
808.09;76.0274
808.43;81.6316
808.77;77.1326
809.12;77.539
809.46;78.4715
809.8;82.5778
810.14;76.4423
810.49;74.5288
810.83;79.7741
811.17;79.5367
811.51;73.5494
811.86;71.7838
812.2;71.1991
812.54;76.8894
812.88;80.3787
813.22;78.1674
813.57;74.7792
813.91;73.4878
814.25;80.9305
814.59;78.0776
814.93;79.9432
815.28;76.7482
815.62;79.5077
815.96;77.0975
816.3;76.6821
816.64;78.0786
816.98;76.8245
817.32;78.392
817.67;76.3304
818.01;78.1788
818.35;78.5445
818.69;80.5252
819.03;75.0132
819.37;76.5381
819.71;75.3483
820.05;78.5637
820.39;77.6008
820.73;76.9716
821.08;75.6869
821.42;79.5005
821.76;81.0622
822.1;80.8943
822.44;78.1011
822.78;81.6025
823.12;76.0062
823.46;82.9474
823.8;76.9898
824.14;80.3942
824.48;80.484
824.82;79.0347
825.16;82.4375
825.5;78.0303
825.84;80.9674
826.18;75.308
826.52;75.8741
826.86;78.5128
827.2;82.6199
827.54;83.2704
827.88;81.0972
828.22;75.6614
828.56;80.2927
828.9;78.9417
829.24;79.6095
829.57;81.7664
829.91;76.5097
830.25;76.5111
830.59;78.2727
830.93;83.2881
831.27;80.8872
831.61;76.973
831.95;77.8015
832.29;75.9783
832.63;75.9358
832.96;78.9416
833.3;77.839
833.64;77.8498
833.98;76.261
834.32;79.8516
834.66;79.4576
835;79.9652
835.33;80.7113
835.67;73.9155
836.01;82.266
836.35;77.0019
836.69;73.6579
837.02;78.3044
837.36;80.6137
837.7;76.0028
838.04;78.2424
838.38;77.8642
838.71;81.1881
839.05;77.1513
839.39;79.9076
839.73;79.7438
840.06;79.9031
840.4;74.3191
840.74;81.1385
841.08;78.7381
841.41;79.9637
841.75;112.1185
842.09;83.3333
842.42;78.9428
842.76;75.8333
843.1;71.4286
843.43;75.1724
843.77;75.5802
844.11;76.078
844.44;72.0644
844.78;77.116
845.12;72.7177
845.45;73.8901
845.79;80.7955
846.13;84.7518
846.46;76.9415
846.8;72.5771
847.14;72.8774
847.47;82.1795
847.81;75.1302
848.14;81.6208
848.48;84.9057
848.82;81.6594
849.15;85.0789
849.49;75.2151
849.82;80.102
850.16;70.7668
850.49;71.7813
850.83;67.8832
851.17;65.5512
851.5;67.304
851.84;60.4027
852.17;87.1658
852.51;81.9629
852.84;72.9282
853.18;76.7584
853.51;67.8744
853.85;81.4241
854.18;71.0059
854.52;62.7451
854.85;78.2918
855.19;69.4915
855.52;55.2846
855.86;60.3774
856.19;89.2405
856.53;86.5385
856.86;74.6667
857.19;55.1724
857.53;42.2222
857.86;58.1967
858.2;85.3659
858.53;30.3571
858.87;64.6154
859.2;35.4167
859.53;82.6667
859.87;0
860.2;0
860.54;14.4068
860.87;64.6154
861.2;20
861.54;45.5696
861.87;56
862.2;0
862.54;0
862.87;148
863.2;103.7037
863.54;0
863.87;0
864.2;33.3333
864.54;63.4921
864.87;182.7586
865.2;49.3671
865.53;0
865.87;31.6456
866.2;0
866.53;0
866.87;0
867.2;0
867.53;30
867.86;0
868.2;36.3636
868.53;25.8065
868.86;76.9231
869.19;0
869.52;71.1864
869.86;0
870.19;172.2222
870.52;0
870.85;0
871.18;0
871.52;0
871.85;0
872.18;0
872.51;0
872.84;40
873.17;73.913
873.51;80.6452
873.84;0
874.17;0
874.5;37.5
874.83;0
875.16;150
875.49;0
875.82;0
876.15;0
876.49;8.1081
876.82;0
877.15;0
877.48;0
877.81;0
878.14;0
878.47;0
878.8;0
879.13;93.617
879.46;100
879.79;0
880.12;44
880.45;0
880.78;0
881.11;0
881.44;0
881.77;0
882.1;0
882.43;0
882.76;0
883.09;54.2373
883.42;77.2727
883.75;0
884.08;0
884.41;0
884.74;120
885.07;0
885.39;0
885.72;0
886.05;0
886.38;36.1345
886.71;0
887.04;88.4615
887.37;0
887.7;0
888.03;0
888.35;0
888.68;0
889.01;0
889.34;44.7368
889.67;0
890;0
890.32;0
890.65;36
890.98;0
891.31;0
891.64;0
891.96;146.6667
892.29;27.551
892.62;0
892.95;0
893.27;0
893.6;0
893.93;20.6349
894.26;0
894.58;22.5
894.91;34
895.24;0
895.57;39.4737
895.89;0
896.22;0
896.55;0
896.87;0
897.2;0
897.53;0
897.85;0
898.18;97.2973
898.51;0
898.83;0
899.16;0
899.49;33.3333
899.81;0
900.14;0
900.47;0
900.79;100
901.12;92.1053
901.44;5
901.77;0
902.1;0
902.42;0
902.75;50
903.07;0
903.4;14.7368
903.72;0
904.05;0
904.38;0
904.7;6.4103
905.03;0
905.35;0
905.68;0
906;8.6207
906.33;0
906.65;0
906.98;0
907.3;0
907.63;61.5385
907.95;0
908.28;0
908.6;0
908.92;0
909.25;0
909.57;65
909.9;0
910.22;64.8649
910.55;74.1935
910.87;88
911.19;0
911.52;0
911.84;246.6667
912.17;48.9796
912.49;90.2439
912.81;0
913.14;0
913.46;16.9231
913.78;0
914.11;0
914.43;0
914.75;0
915.08;0
915.4;0
915.72;0
916.05;0
916.37;0
916.69;190
917.02;0
917.34;0
917.66;0
917.98;0
918.31;0
918.63;144.4444
918.95;0
919.27;100
